Year,Identity of mother,Habitat code,Habitat,Level,Height,Shade,Light,DW,DF,Disturbance,Area,Total,Max Score,Litter size,Litter size category,"structure (area, height, level)",resources (distance from food and water),"quality (shade, light)",disturbances
5,M124,UR,Urban,1,1,1,1,2,2,1,1,10,24,3,small,3,4,2,1
5,M125,UR,Urban,2,1,1,1,3,3,3,3,17,24,2,small,6,6,2,3
5,M126,UR,Urban,1,1,1,1,2,2,2,1,11,24,4,small,3,4,2,2
5,M127,UR,Urban,1,2,1,1,1,1,3,2,12,24,5,large,5,2,2,3
5,M128,UR,Urban,1,2,3,3,1,1,3,3,17,24,2,small,6,2,6,3
5,M129,UR,Urban,1,3,3,3,1,1,3,2,17,24,6,large,6,2,6,3
5,M130,UR,Urban,1,2,3,3,1,1,1,3,15,24,3,small,6,2,6,1
5,M131,UR,Urban,1,3,1,1,1,3,1,3,14,24,5,large,7,4,2,1
5,M132,UR,Urban,1,1,1,1,3,3,3,1,14,24,3,small,3,6,2,3
5,M133,SU,Semi,1,1,1,1,2,2,2,1,11,24,3,small,3,4,2,2
5,M134,SU,Semi,2,1,3,2,2,2,1,3,16,24,3,small,6,4,5,1
5,M135,SU,Semi,1,1,1,1,2,2,2,1,11,24,3,small,3,4,2,2
5,M136,SU,Semi,2,3,1,1,2,2,3,3,17,24,4,small,8,4,2,3
5,M137,SU,Semi,1,3,3,3,2,2,1,3,18,24,5,large,7,4,6,1
5,M138,SU,Semi,1,1,2,1,2,2,2,1,12,24,3,small,3,4,3,2
5,M139,SU,Semi,1,1,1,1,2,2,1,1,10,24,2,small,3,4,2,1
5,M140,SU,Semi,1,1,3,2,2,2,3,1,15,24,5,large,3,4,5,3
5,M141,UR,Urban,1,1,1,1,2,2,3,1,12,24,4,small,3,4,2,3
5,M142,RU,Rural,1,1,1,1,2,2,3,1,12,24,3,small,3,4,2,3
5,M143,RU,Rural,1,1,1,1,2,2,1,1,10,24,3,small,3,4,2,1
5,M144,SU,Semi,1,1,1,1,2,2,3,1,12,24,6,large,3,4,2,3
5,M145,SU,Semi,2,2,1,1,1,1,2,1,11,24,4,small,5,2,2,2
5,M146,UR,Urban,1,3,3,1,2,3,3,1,17,24,3,small,5,5,4,3
5,M147,UR,Urban,2,1,3,1,2,2,1,3,15,24,3,small,6,4,4,1
5,M148,SU,Semi,1,1,3,3,1,1,3,1,14,24,5,large,3,2,6,3
