"","Order","Family","Genus","Species","AdultBodyMass_g","BMR_mLO2hr","GestationLen_d","LitterSize","LittersPerYear","MaxLongevity_m","PopulationDensity_nkm2","SexualMaturityAge_d","TrophicLevel","GR_Area_km2","HumanPopDen_nkm2","PrecipMean_mm","TempMean_degC"
"288","Artiodactyla","Suidae","Babyrousa","Babyrousa babyrussa",91700,NA,156.5,1.5,1.5,288,NA,345.19,2,61504,35.4,236.71,208.35
"289","Rodentia","Muridae","Baiomys","Baiomys musculus",9,NA,NA,2.84,NA,NA,NA,NA,1,452712,103.54,109.05,207.07
"290","Rodentia","Muridae","Baiomys","Baiomys taylori",7.44,17.08,21.99,2.53,10,39.12,2470,42.21,1,1097471,59.41,55.48,188.74
"291","Cetacea","Balaenidae","Balaena","Balaena mysticetus",79700000,NA,379.9,1,0.41,480,NA,5263.88,3,NA,NA,NA,NA
"292","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera acutorostrata",5590000,NA,304.16,1,1,600,NA,2332.83,3,NA,NA,NA,NA
"293","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera borealis",22100000,NA,334.58,1,0.41,888,NA,2854,3,NA,NA,NA,NA
"294","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera edeni",2e+07,NA,383.95,0.97,NA,864,NA,1645.23,3,NA,NA,NA,NA
"295","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera musculus",1.54e+08,NA,326.97,0.99,0.45,1320,NA,1679,3,NA,NA,NA,NA
"296","Cetacea","Balaenopteridae","Balaenoptera","Balaenoptera physalus",47500000,NA,338.36,1,0.37,1392,NA,2317.39,3,NA,NA,NA,NA
"297","Chiroptera","Emballonuridae","Balantiopteryx","Balantiopteryx infusca",NA,NA,NA,NA,NA,NA,NA,NA,NA,68802,83.28,121.57,242.2
"298","Chiroptera","Emballonuridae","Balantiopteryx","Balantiopteryx io",3.96,NA,NA,1,NA,NA,NA,NA,NA,211758,40.29,144.32,239.45
"299","Chiroptera","Emballonuridae","Balantiopteryx","Balantiopteryx plicata",6.56,NA,138.99,0.98,1,NA,NA,NA,3,841946,88.19,106.96,216.78
"300","Chiroptera","Pteropodidae","Balionycteris","Balionycteris maculata",14.4,NA,NA,1,NA,NA,NA,NA,1,870187,90.03,244.15,249.46
"301","Rodentia","Muridae","Bandicota","Bandicota bengalensis",227,NA,18.89,7.29,5.9,NA,NA,68.95,NA,3698086,320.61,107.29,236.14
"302","Rodentia","Muridae","Bandicota","Bandicota indica",583,NA,20.27,6.12,NA,NA,NA,194.77,NA,6308602,264.57,111.99,228.78
"303","Rodentia","Muridae","Bandicota","Bandicota savilei",260,NA,NA,NA,NA,NA,NA,NA,NA,678507,94.32,134.78,244.58
"304","Chiroptera","Vespertilionidae","Barbastella","Barbastella barbastellus",8.25,NA,NA,2,1,252,NA,NA,3,3884783,129.13,57.72,84.25
"305","Chiroptera","Vespertilionidae","Barbastella","Barbastella leucomelas",15.1,NA,NA,NA,NA,NA,NA,NA,NA,3609916,143.24,84.55,82.03
"306","Carnivora","Procyonidae","Bassaricyon","Bassaricyon alleni",1240,NA,NA,NA,NA,NA,NA,NA,NA,467193,2.2,208.81,258.1
"307","Carnivora","Procyonidae","Bassaricyon","Bassaricyon beddardi",1240,NA,NA,NA,NA,NA,NA,NA,NA,441326,0.69,186.26,239.89
"308","Carnivora","Procyonidae","Bassaricyon","Bassaricyon gabbii",1250,NA,76.84,1,NA,300,6.11,534.82,2,803202,46.86,176.37,230.94
"309","Xenarthra","Bradypodidae","Bradypus","Bradypus tridactylus",4280,NA,126.96,0.96,NA,NA,153,NA,1,1806394,3.19,157.98,250.62
"310","Xenarthra","Bradypodidae","Bradypus","Bradypus variegatus",3860,685.99,171.05,0.92,NA,NA,512,NA,1,8222757,12.64,164.82,244.36
"311","Rodentia","Echimyidae","Brotomys","Brotomys contractus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"312","Rodentia","Echimyidae","Brotomys","Brotomys voratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"313","Artiodactyla","Bovidae","Bubalus","Bubalus bubalis",919000,NA,320,1,1,339,1.08,744.82,1,978657,254.7,154.04,223.58
"314","Artiodactyla","Bovidae","Bubalus","Bubalus depressicornis",255000,NA,295.78,1,1,432.96,NA,657.98,1,41027,40,227.75,197.83
"315","Artiodactyla","Bovidae","Bubalus","Bubalus mephistopheles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"316","Carnivora","Otariidae","Arctocephalus","Arctocephalus galapagoensis",39500,12433.8,216.21,1,NA,264,NA,1460,2,NA,NA,NA,NA
"317","Carnivora","Otariidae","Arctocephalus","Arctocephalus gazella",96600,NA,295.06,1,NA,276,22,1465.47,3,NA,NA,NA,NA
"318","Carnivora","Otariidae","Arctocephalus","Arctocephalus philippii",95000,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"319","Carnivora","Otariidae","Arctocephalus","Arctocephalus pusillus",179000,NA,299.3,1,NA,252,NA,1480.71,3,NA,NA,NA,NA
"320","Carnivora","Otariidae","Arctocephalus","Arctocephalus townsendi",101000,NA,NA,1,NA,288,NA,NA,3,NA,NA,NA,NA
